time,latitude,longitude,depth_km,magnitude,mag_type,place
2024-12-24T20:33:34.670Z,6.3181,-74.8321,73.999,4.9,mb,"13 km SW of Caracolí, Colombia"
2024-12-24T19:19:44.512Z,-17.7202,168.1654,36.367,4.8,mb,"15 km W of Port-Vila, Vanuatu"
2024-12-24T16:49:54.109Z,-39.0508,-72.2966,93.99,4.7,mwr,"26 km NNW of Villarrica, Chile"
2024-12-24T16:27:28.206Z,75.6532,8.1087,10,4.5,mb,Greenland Sea
2024-12-24T14:12:06.803Z,-17.7408,168.035,37.139,4.7,mb,"29 km W of Port-Vila, Vanuatu"
2024-12-24T12:05:14.994Z,8.9327,39.9828,10,4.5,mb,"8 km ENE of Metahāra, Ethiopia"
2024-12-24T10:42:54.577Z,2.6116,126.3472,70.557,4.8,mb,"187 km NE of Bitung, Indonesia"
2024-12-24T09:45:49.789Z,9.0038,39.9266,10,4.5,mb,"11 km N of Metahāra, Ethiopia"
2024-12-24T09:11:50.544Z,10.7353,-68.7586,10,4.6,mb,"17 km NNW of Yumare, Venezuela"
2024-12-24T06:39:57.991Z,7.1166,-75.7263,49.827,4.5,mb,"7 km SE of Ituango, Colombia"
2024-12-24T05:39:34.842Z,24.6536,-46.1986,10,5,mww,northern Mid-Atlantic Ridge
2024-12-24T05:01:26.077Z,30.9846,143.1068,10,4.6,mb,"Izu Islands, Japan region"
2024-12-24T03:18:32.886Z,55.5039,166.1001,35,4.5,mb,"240 km ESE of Ust’-Kamchatsk Staryy, Russia"
2024-12-23T22:53:47.774Z,19.5735,147.6463,10,4.7,mb,Mariana Islands region
2024-12-23T22:53:04.193Z,-24.8631,-177.5838,201.317,4.5,mb,south of the Fiji Islands
2024-12-23T20:29:20.493Z,-16.6848,-173.2596,35,4.6,mb,"99 km SE of Hihifo, Tonga"
2024-12-23T19:41:24.210Z,8.9768,39.9298,10,4.9,mb,"8 km N of Metahāra, Ethiopia"
2024-12-23T17:57:25.649Z,19.5557,95.0613,85.383,4.9,mb,"26 km NW of Myaydo, Myanmar"
2024-12-23T17:13:33.523Z,12.7911,-90.4758,10,4.6,mb,"113 km SW of Acajutla, El Salvador"
2024-12-23T16:18:22.236Z,34.5652,140.4829,69.523,4.5,mb,"66 km SSE of Katsuura, Japan"
2024-12-23T15:37:05.998Z,-14.3931,170.5132,642.98,4.6,mb,Vanuatu region
2024-12-23T13:37:11.807Z,-7.212,124.513,511.843,4.5,mb,"172 km NNW of Maubara, Timor Leste"
2024-12-23T13:09:56.014Z,-56.0285,-27.5957,120.401,4.7,mb,South Sandwich Islands region
2024-12-23T12:17:08.512Z,-17.63,168.2103,60.479,4.5,mb,"16 km NW of Port-Vila, Vanuatu"
2024-12-23T11:13:08.429Z,-15.5995,-173.7898,71.933,4.5,mb,"39 km N of Hihifo, Tonga"
2024-12-23T10:38:56.597Z,-22.079,170.2072,10,4.5,mb,"247 km ESE of Tadine, New Caledonia"
2024-12-23T06:00:56.943Z,19.8862,-76.6255,7,5.9,mww,"41 km SSW of Guisa, Cuba"
2024-12-23T04:51:08.666Z,-11.0805,165.8553,57.023,5,mb,"39 km S of Lata, Solomon Islands"
2024-12-23T03:39:05.217Z,-16.6728,28.8144,10,4.9,mb,"17 km S of Kariba, Zimbabwe"
2024-12-23T02:16:30.647Z,-26.9319,-179.8652,471.307,4.6,mb,south of the Fiji Islands
2024-12-23T01:36:09.189Z,5.4829,61.2882,10,4.6,mb,Carlsberg Ridge
2024-12-23T01:18:18.905Z,5.2601,61.6637,10,4.5,mb,Carlsberg Ridge
2024-12-23T01:13:53.139Z,8.9408,39.9761,10,4.6,mb,"7 km NE of Metahāra, Ethiopia"
2024-12-23T00:11:12.874Z,8.2703,39.9149,10,4.5,mb,"47 km E of Sīrē, Ethiopia"
2024-12-23T00:04:49.876Z,-14.4246,167.2922,246.214,4.7,mb,"66 km SSW of Sola, Vanuatu"
2024-12-22T21:38:37.166Z,-10.3585,-77.4718,94.27,4.9,mb,"2 km NE of Copa, Peru"
