lat,lon
41.0785749,28.9720234
41.089917,28.8831084
41.0912923,28.8843124
41.0869954,28.8893126
41.082074,28.8930849
41.0808264,28.8933585
41.0785947,28.8955669
41.0780506,28.8990355
41.0743185,28.9050783
41.0700316,28.9065991
41.0825089,28.9167443
41.0794953,28.9304409
41.0656572,28.9874809
41.0595306,28.9761503
41.0565105,28.9651124
41.0837014,28.909015
41.056679,28.9391349
41.0576209,28.9419382
41.0662352,28.9429632
41.0693304,28.9331484
41.051054,28.9076389
41.0700559,28.8925457
41.0815516,28.8961251
41.0869448,28.9504627
41.1074455,29.0152133
41.1084252,29.0233092
41.1157315,29.0232159
41.0695795,28.916474
40.9963146,28.7966461
41.0657354,28.9334658
41.1013118,28.9799955
40.8319387,29.4265665
40.8387491,29.4080299
40.854094,29.394338
41.0010194,28.6181483
41.0058414,28.6223911
41.0163417,28.6259075
41.0189519,28.6311127
41.0199328,28.6316143
41.009743,28.6550438
41.0293532,28.6825976
41.0321617,28.6819427
41.0319562,28.674315
41.0510066,28.6877366
41.1921501,28.5708984
41.1955155,28.5699581
41.2770965,28.6124561
41.2450241,28.7014848
41.2435451,28.7040755
41.179233,28.8840084
41.1560027,29.0357557
41.0950742,28.8959035
40.9161243,29.169956
40.8982602,29.1641302
41.305529,28.2418501
41.0554432,29.1887592
41.0552294,29.1847871
41.083835,28.9488526
41.0044928,29.030382
41.0512982,29.0644395
40.9815951,28.884321
41.1013536,28.9659513
41.1028138,29.0000549
40.9172131,29.3543737
40.9206579,29.3502175
40.9108193,29.1991062
41.0517471,28.9106435
41.055581,28.9096727
41.0807449,28.8941561
41.1111874,28.7962122
40.9969726,28.8716266
40.9740305,28.8731698
41.0310203,29.230925
41.129753,28.8377788
41.0283824,28.4598276
40.8099108,29.565928
40.9813442,29.1650507
41.056844,28.9964243
40.9044049,29.163743
40.8882781,29.3751917
